id,dt_prediction_date,dt_target_date,s_model_type,cat_case_type,cat_s_flightno,dt_flight_date,num_flight_year,num_flight_month,num_flight_weekofyear,num_flight_dayofweek,cat_sdt_hour,cat_s_airport_desc,cat_s_city_desc,cat_destination_group_id,cat_longhaul_ind,num_airport_other_ops,num_airport_other_flights,num_city_other_ops,num_city_other_flights,cat_s_plane_capacity,cat_flight_class_type_id,ord_leisure,ord_irish_residents,ord_trip_duration,ord_female,ord_party_size,ord_bag_checkin,ord_arrive_by_car,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
14039,31-May-12,31-May-13,52_weeks,Target,EI698,31-May-13,2013,5,22,31,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,10,9,5,9,3,3,7,6,8,4,1,6,0,10,3,8,7
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,31-May-12,2012,5,22,31,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,10,6,4,2,1,0,8,5,0,10,3,8,2,0,6,5
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,30-May-12,2012,5,22,30,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,5,9,8,2,3,10,9,0,9,2,1,10,3,4,6,6,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,29-May-12,2012,5,22,29,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,4,6,3,2,6,3,2,8,6,9,3,1,6,7,8,6
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,28-May-12,2012,5,22,28,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,3,9,1,9,5,2,3,9,4,6,4,6,9,3,9,7
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,27-May-12,2012,5,22,27,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,6,1,3,7,2,1,9,7,4,2,0,6,8,3,5,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,26-May-12,2012,5,21,26,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,4,3,4,5,1,3,5,0,2,3,7,2,2,1,2,6,3
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,25-May-12,2012,5,21,25,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,6,3,3,3,0,10,10,1,5,6,1,9,5,5,0,8
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,11-May-12,2012,5,19,11,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,2,6,5,2,0,5,0,7,7,7,6,7,8,0,10,0,0
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,04-May-12,2012,5,18,4,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,3,3,0,3,5,3,0,5,2,0,1,0,3,8,3,10,7
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,06-Apr-12,2012,4,14,6,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,5,10,5,1,8,9,2,0,1,5,3,4,8,4,3,0,4
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,02-Mar-12,2012,3,9,2,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,6,10,5,0,1,6,6,9,0,1,4,10,1,8,2,1,9
14039,31-May-12,31-May-13,52_weeks,Expl,EI698,02-Dec-11,2011,12,49,2,17,DUSSELDORF,DUSSELDORF,WESTERN EUROPE,0,0,1,0,1,151 - 200,SCHEDULED,2,2,3,2,4,4,2,1,10,0,8,3,10,5,5,4,3,7,2,10,0,1,1,10
10566,15-Oct-13,15-Oct-14,52_weeks,Target,UA022,15-Oct-14,2014,10,42,15,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,1,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,5,8,3,6,9,3,4,2,9,6,8,6,0,4,7,4
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,15-Oct-13,2013,10,42,15,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,2,1,3,8,5,9,7,1,3,10,5,6,8,8,8,0,8
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,14-Oct-13,2013,10,42,14,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,1,6,1,2,4,4,9,9,5,5,5,5,10,8,10,5,8
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,13-Oct-13,2013,10,42,13,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,9,7,9,3,3,3,3,1,9,2,9,4,6,3,4,2
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,12-Oct-13,2013,10,41,12,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,1,3,6,151 - 200,SCHEDULED,3,1,4,4,5,5,2,0,4,4,10,6,7,3,8,10,7,7,9,4,2,2,1,1
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,10-Oct-13,2013,10,41,10,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,4,151 - 200,SCHEDULED,3,1,4,4,5,5,2,7,4,7,0,8,5,8,5,4,4,9,2,6,4,10,0,10
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,09-Oct-13,2013,10,41,9,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,2,4,4,1,4,10,5,9,8,7,10,3,2,6,10,6,3
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,02-Oct-13,2013,10,40,2,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,9,1,4,2,9,3,0,4,1,3,10,10,5,5,7,0,6
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,25-Sep-13,2013,9,39,25,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,3,5,151 - 200,SCHEDULED,3,1,4,4,5,5,2,6,0,7,9,7,1,9,9,9,6,4,7,9,0,8,8,7
10566,15-Oct-13,15-Oct-14,52_weeks,Expl,UA022,18-Sep-13,2013,9,38,18,9,NEWARK,NEW YORK,NORTH AMERICA,1,0,0,4,6,151 - 200,SCHEDULED,3,1,4,4,5,5,2,1,4,7,3,8,8,3,9,7,4,8,7,3,6,8,3,7
